Date,Activity Type,Upvotes,Content
2023-11-16 06:05:05,Post,30,Ark Invest CEO Cathie Wood Sees Crypto Market Exploding to $25 Trillion in 2030
2023-11-11 18:13:22,Post,25,"$365 billion inflows crypto market cap in a month, Greed has started dominating investors!"
2023-11-09 18:48:16,Post,11,How India’s Controversial Crypto Tax Policy Has Failed
2023-11-09 12:29:38,Post,7,Biden Administration Seeks Crypto Oversight Amid Hamas Concerns
2023-11-16 16:18:45,Comment,1,!myactivity
2023-11-16 16:18:34,Comment,1,!monthlystats
2023-11-16 16:17:28,Comment,1,!tip 5 Wen distro
2023-11-16 16:17:04,Comment,1,"Lol,the biggest question of the month"
2023-11-16 06:05:29,Comment,1,[Automod] Sentiment
2023-11-09 12:30:24,Comment,2,[AutomodRemove]
