Date,Activity Type,Upvotes,Content
2023-10-28 00:51:50,Post,4,"Gemini sues Genesis over GBTC shares used as Earn collateral, now worth $1.6B"
2023-10-27 15:37:23,Post,1,"Fireblocks, UniPass Wallet tackle Ethereum ERC-4337 account abstraction vulnerability"
2023-10-27 11:29:07,Post,6,Turkey plans to craft crypto framework in 2024
2023-10-27 09:25:36,Post,13,📈 Ethereum Market Overview
2023-10-29 06:03:40,Comment,1,!myactivity
2023-10-28 00:52:37,Comment,1,"tldr;
Cryptocurrency exchange Gemini filed an adversary proceeding against bankrupt crypto lender Genesis Global Holdco in the Southern District of New York Bankruptcy Court on Oct. 27. At issue is the fate of 62,086,586 shares of Grayscale Bitcoin Trust (GBTC). They were used as collateral to secure loans made by 232,000 Gemini users to Genesis through the Gemini Earn Program. That collateral is currently worth close to $1.6 billion.."
2023-10-27 15:40:53,Comment,3,"especially the war between Hamas and Israel, that is bearish news"
2023-10-27 15:37:39,Comment,2,"another day, another vulnerability"
2023-10-27 11:30:23,Comment,2,"tldr;  
The 2024 Turkish Presidential Annual Program aims to establish crypto regulations in Turkey by the end of 2024, including defining crypto assets and providers. However, the document lacks specific details. Turkey has shown increased interest in cryptocurrencies due to economic challenges, and the government has been testing a digital lira."
2023-10-27 09:41:35,Comment,4,is the target $1k for ETH in November?
2023-10-27 09:37:29,Comment,2,That's some decent money! Good job on that!
2023-10-27 09:31:59,Comment,1,You're not alone!
2023-10-27 09:27:43,Comment,2,just DCA everyone!
