Date,Activity Type,Upvotes,Content
2023-10-28 07:28:49,Post,2,"What a nice shy jump , Donuts is Up today , keep going"
2023-10-27 11:45:02,Post,32,300 Eth are lost..
2023-10-26 19:11:15,Post,7,Donut Token: A Sweet Innovation That Can Revolutionize Your Daily Life
2023-10-26 17:46:01,Post,6,Everything Is gonna Be alright 🍩
2023-10-26 10:44:25,Post,4,Any Working Xdai Faucet ?
2023-10-26 07:13:15,Post,6,Donut token addition to the crypto world
2023-10-28 07:41:05,Comment,1,!myactivity
2023-10-28 07:39:12,Comment,1,"Exactly , yes"
2023-10-28 07:37:19,Comment,1,"Yup , little shy but is better than nothing
Donuts To The Moon"
2023-10-28 07:30:48,Comment,1,[AutoMod] Meta & Donut
2023-10-27 10:02:33,Comment,1,Ethereum will hit 2000$ soon
2023-10-26 19:50:54,Comment,2,What about 10000 donuts ? It will make you immortal 😅
2023-10-26 19:39:30,Comment,1,"Its not important , the most important is to spread the right informations"
2023-10-26 19:26:06,Comment,1,"Thanks you
For sure i will , it will be posted on many others platforms 
Lets spread Donuts to the World"
2023-10-26 19:22:33,Comment,2,Im pretty it will not
2023-10-26 18:55:22,Comment,1,"Dont worry , all is under control buddy"
2023-10-26 18:54:33,Comment,1,"For me , ill share 30% with others donuts holders , 40% for the one who launched this wonderful token ( as a small donation for the community to keep growing) , & the rest 30% ill keep it in wallet"
2023-10-26 18:48:38,Comment,1,"Lets imagine together , if one day you woke up and notice that someone tipped you 1M donuts , What would you do ?? 
You will keep it all to your self ? Or you will tipped 40% of the ammount to others donuts holder ? 
Be honest
Everyone can share answers 
Lets share opinions"
2023-10-26 18:29:18,Comment,2,"Yeah buddy , all is good"
2023-10-26 18:28:43,Comment,2,"True , imagine that One donut keeps all worries away , what about 1000 donuts ?"
2023-10-26 18:27:23,Comment,2,"Thats the good thing , that there is nothing to worry about even if u have been away for a year"
2023-10-26 18:19:30,Comment,1,Thanks my freind for the tip
2023-10-26 18:12:01,Comment,1,"Thank you for the tip 
You are the first one who tipped me and its my 1st tipped Donut
Thank you again"
2023-10-26 18:07:19,Comment,3,Exactly
2023-10-26 18:06:44,Comment,1,I already did 😅
2023-10-26 11:07:53,Comment,2,Cant wait until i get my 1st distribution in the end of this month
2023-10-26 10:47:56,Comment,1,[Automod] Meta & Donut
2023-10-26 10:45:10,Comment,1,[Automod] Xdai Faucet
2023-10-26 09:06:14,Comment,2,no doubt
2023-10-26 09:00:04,Comment,1,\[Automod\] Meta & Donut
2023-10-26 08:28:58,Comment,1,lol
