Date,Activity Type,Upvotes,Content
2023-10-28 11:50:46,Comment,1,!myactivity
2023-10-27 11:13:21,Comment,1,I nearly had a heart attack.
2023-10-27 10:54:01,Comment,3,What happens to xDai? It's gone down 50%!!!
2023-10-26 20:40:48,Comment,2,![img](avatar_exp|147862076|fire)
2023-10-26 16:18:25,Comment,1,Same with me.
2023-10-25 20:26:51,Comment,3,I am really looking forward to the new re-staking feature.
2023-10-24 17:56:22,Comment,1,!mykarma
2023-10-23 10:44:41,Comment,0,I second this very much!
2023-10-21 18:44:36,Comment,2,This!
2023-10-21 09:30:05,Comment,1,"ppl, it doesn't matter anymore, he already deleted his account.."
2023-10-19 15:28:28,Comment,1,"It's a token related to rcpswap. Independent project but covering swaps/bridging of former rcp's and independent token like plunger, taco, bitcone, etc. Guess there is no need for it anymore. Also they devs have bad rep."
2023-10-17 19:17:04,Comment,1,"Regarding the whole RCP desaster: Wait a few hours, look at the ARB price. I mean, we are traders at least, aren't we?"
2023-10-17 18:00:13,Comment,1,"Of course, I don't."
2023-10-17 17:57:48,Comment,1,Still rich? ;)
2023-10-16 15:15:00,Comment,1,But now we have a picture what could happen if it actually happens.
2023-10-09 15:41:02,Comment,2,Distro for r128 already happend?
2023-10-09 15:37:52,Comment,1,Use HOP bridge to intensify the feeling.
2023-10-08 09:01:31,Comment,0,"This is the application of minimum one of the 3 d's by IHRA, meaning your commentary is antisemitic."
2023-10-06 13:47:21,Comment,1,!donut
2023-10-06 08:33:00,Comment,1,"Of, i can relate to this atm.."
2023-10-05 09:25:34,Comment,2,"Definitly, i'll look into connext, ty."
2023-10-05 09:14:01,Comment,2,"Here, too, up to an hour. But there are not many bridges to arb nova out there beside HOP and Orbiter.."
2023-10-05 09:09:27,Comment,3,"I use HOP too, but damn it's slow."
2023-10-05 09:07:44,Comment,2,What was the issue the other day?
2023-10-05 09:04:40,Comment,5,Is it save again to use Orbiter?
2023-10-03 22:18:47,Comment,2,"It's getting worse, seriously."
2023-10-03 22:16:51,Comment,2,Did I read what I just read?
2023-10-01 22:31:35,Comment,1,One huge green candle..
2023-10-01 10:34:03,Comment,2,"No, Meme."
2023-10-01 10:26:10,Comment,4,"$WSM has a community of 1.1M people, Donuts (Ethtrader) is 2.3M people. $WSM is at 0,05$. The only difference between both is MCAP (the sheer amount of investment put into $WSM and of course lots of DEX listings).

Imagine that with Donuts.

(Edited some spelling errors.)"
