Date,Activity Type,Upvotes,Content
2023-10-28 13:41:14,Comment,1,Pass lol
2023-10-28 13:40:51,Comment,1,Thanks
2023-10-28 13:40:32,Comment,1,Sad
2023-10-28 13:39:51,Comment,1,Time will tell
2023-10-28 13:39:33,Comment,1,On fire
2023-10-28 13:39:18,Comment,1,True
2023-10-28 13:38:57,Comment,1,Why ain't I surprised?
2023-10-28 13:38:29,Comment,1,Letsss gooo brothers
2023-10-28 13:38:06,Comment,1,I am one of them too
2023-10-28 13:37:44,Comment,1,Good idea
2023-10-28 13:37:22,Comment,1,100%
2023-10-28 13:37:09,Comment,1,True bro
2023-10-28 13:35:46,Comment,1,!myactivity
2023-10-28 13:35:03,Comment,1,He had Bad intentions  from the very beginning
2023-10-28 13:34:11,Comment,0,Lets gooo
2023-10-28 13:33:57,Comment,1,Lololololol
2023-10-28 13:31:09,Comment,1,That's true though
2023-10-26 22:52:13,Comment,2,Good job💪🏻
2023-10-26 22:51:11,Comment,1,A) what
2023-10-26 17:48:48,Comment,1,"I'm calm, I AM CALM"
2023-10-26 17:47:15,Comment,2,We should all celebrateee
2023-10-26 17:47:00,Comment,1,Wow
2023-10-26 17:46:21,Comment,2,I've noticed this as well bro
2023-10-26 17:45:55,Comment,2,Asia already dominating though
2023-10-26 17:45:29,Comment,1,Hahah best one
2023-10-26 14:43:05,Comment,1,Defi is the way
2023-10-26 14:42:29,Comment,1,Always bro 😇
2023-10-26 14:38:36,Comment,1,More like shitcoin
2023-10-26 14:37:59,Comment,1,Its risky
2023-10-26 14:37:25,Comment,2,Cool
2023-10-26 14:36:38,Comment,1,This guyneeds life time jail
2023-10-26 14:36:11,Comment,3,This guy is hated by everybody
2023-10-26 14:35:27,Comment,3,Bullmarket hasn't begun yet
2023-10-26 14:34:48,Comment,1,Lool
2023-10-26 14:30:55,Comment,2,I'm ranked 420 :)
2023-10-26 14:29:14,Comment,1,"My first time getting some Donuts, thanks ❤️"
2023-10-26 08:25:00,Comment,1,Cool
2023-10-26 08:24:44,Comment,1,The best men
2023-10-26 08:23:49,Comment,2,Hold and pay no taxes better :P
2023-10-26 08:23:17,Comment,1,True
2023-10-26 08:22:52,Comment,2,I may not be from Usa but still don't want this to happen
2023-10-26 08:22:01,Comment,2,I'd stay away from FTX
2023-10-26 08:21:00,Comment,0,Good question
2023-10-26 08:20:41,Comment,2,Nice point
2023-10-26 08:20:17,Comment,1,Babydoge
2023-10-26 08:19:58,Comment,1,Nice
2023-10-26 08:19:49,Comment,1,Lesssssgooo
2023-10-26 08:19:31,Comment,1,Anything wrapped is shit bro
2023-10-26 08:18:09,Comment,2,Thanks for sharing
2023-10-26 08:17:45,Comment,1,They trying so hard to dump it
2023-10-26 08:17:08,Comment,1,Thanks for your hard work
2023-10-26 08:15:54,Comment,1,Waiting and waiting
2023-10-25 11:55:53,Comment,1,Soon man soon...
2023-10-25 11:55:36,Comment,1,Wow just wow
2023-10-25 11:54:28,Comment,2,Lets wait and see
2023-10-25 11:53:57,Comment,1,Lol
2023-10-25 11:51:22,Comment,2,Ledger loves losing its customers
2023-10-25 11:50:29,Comment,1,The best man in crypto space
2023-10-25 11:49:50,Comment,1,Greed for sure
2023-10-25 11:49:22,Comment,2,More news like this
2023-10-25 11:48:17,Comment,1,Oh well
2023-10-25 11:47:45,Comment,1,Wow
2023-10-22 22:27:07,Comment,0,In Eth we trust
2023-10-22 22:26:42,Comment,3,So cute
2023-10-22 22:25:26,Comment,1,Cool
2023-10-15 22:33:55,Comment,1,Smart
2023-10-15 22:33:32,Comment,1,Nfts...
2023-10-15 22:33:09,Comment,1,Time will tell
2023-10-15 22:32:52,Comment,1,Or what?
2023-10-15 22:32:28,Comment,1,Still wondering huh
2023-10-15 22:32:09,Comment,1,Nice Hopium
2023-10-15 22:31:36,Comment,1,Loool
2023-10-15 22:31:15,Comment,2,These are cute
2023-10-15 22:30:57,Comment,1,Finally one good move
2023-10-15 22:30:25,Comment,1,X should really do something about this ads
2023-10-15 22:29:46,Comment,1,That's crazy
2023-10-15 22:29:17,Comment,1,True
2023-10-15 22:28:57,Comment,2,Loool
2023-10-11 01:03:45,Comment,1,No competion so far for ETH
2023-10-11 01:03:05,Comment,1,First down and then we FLYY 🚀
2023-10-11 01:02:29,Comment,1,Lucky to have Donuts to make our lives better lol
2023-10-11 01:01:32,Comment,1,Gambling....
2023-10-11 00:57:41,Comment,1,This hurts man
2023-10-11 00:56:56,Comment,1,What
2023-10-11 00:53:22,Comment,1,So happy to be part of this...
2023-10-11 00:52:31,Comment,1,Back under 1600 again.....
2023-10-11 00:52:02,Comment,1,Nice
2023-10-11 00:51:45,Comment,2,Thanks
2023-10-11 00:51:28,Comment,1,Balls of steel lol :D
2023-10-11 00:50:47,Comment,1,True
2023-10-11 00:50:24,Comment,1,Lol
2023-10-11 00:50:02,Comment,1,True
2023-10-11 00:49:25,Comment,1,This guy will never give our money back..
2023-10-10 23:44:12,Comment,1,wow just wow....
2023-10-10 23:43:35,Comment,1,Money Laundering for sure
2023-10-10 23:42:49,Comment,1,cool
2023-10-10 23:42:23,Comment,3,so happy to be part of the community
