Date,Activity Type,Upvotes,Content
2023-10-28 10:31:35,Comment,1,!myactivity
2023-10-27 22:37:42,Comment,1,Panel 4 is a mirror
2023-10-27 18:53:38,Comment,2,We just need to link Chat GPT to the Boston Dynamics Robot via Star Link and we re all ready for dooms day!!!
2023-10-27 00:22:08,Comment,1,"![img](avatar_exp|138356557|webman)

Gary the good , Gary the bad, and ugly Gary, articles repeat the cycle"
2023-10-26 23:31:25,Comment,1,![img](avatar_exp|138356557|bravo)
2023-10-26 23:30:50,Comment,1,![img](avatar_exp|138356557|take_my_energy)
2023-10-26 20:21:31,Comment,1,Hahahahahaha. Hahahaha. Not surprised
2023-10-26 20:09:59,Comment,1,"![img](avatar_exp|138356557|laugh)

Thank you Thank you"
2023-10-26 19:35:57,Comment,1,May the odds be forever in your flavour
2023-10-26 01:25:06,Comment,1,Lololol
2023-10-26 01:24:49,Comment,1,Black rock with the teaser tester market blip
2023-10-26 01:24:20,Comment,12,Wrapped anything is horse shit
2023-10-26 01:23:56,Comment,1,All me
2023-10-26 01:23:25,Comment,1,Cdc tax app worked for me
2023-10-26 01:22:35,Comment,2,"From someone outside the US, sucks dude"
2023-10-26 01:18:33,Comment,2,Mod me!! I just realized it’s my cake day. I would be a fair and just king
2023-10-25 01:25:26,Comment,0,10k Eth seems right
2023-10-25 01:06:32,Comment,1,But what kind of crypto? I bet it’s doge
2023-10-24 22:58:36,Comment,1,Let the face melting begin!!!!
2023-10-24 22:57:14,Comment,1,That’s a big melt lol
2023-10-21 23:03:19,Comment,1,"Money pot = takers of money pot … Welcome to Crypto!!! And to a greater extent investments in general, pension pools … humans !!! It’s not a rat race, it’s hyperparasitism !"
2023-10-19 11:37:03,Comment,1,This is the Hopium I needed to get my day started
2023-10-19 06:14:36,Comment,2,Things turning around alittle but I do not recommend a falling knife
2023-10-19 06:04:57,Comment,1,Fun read thanks!!
2023-10-18 10:14:19,Comment,1,"I noticed people are still tipping dounuts.. it’s almost like nothing actually changed,,, big guy in, big guy out lol"
2023-10-18 09:57:52,Comment,1,"Seriously, it’s a lot of bad news all over the place"
2023-10-15 10:04:52,Comment,1,"Oh, my, doom prediction"
2023-10-14 15:33:38,Comment,3,Seriously? What cunts
2023-10-14 14:42:05,Comment,3,"Seriously, what were the dudes that speak for her thinking!!!!!"
2023-10-14 14:39:52,Comment,1,"Lol, just call it scam-coin"
2023-10-12 01:40:03,Comment,1,Hells yah!!!! Congrats!!
2023-10-10 23:09:21,Comment,1,Wooooooo
2023-10-10 19:56:59,Comment,1,Well you gotta be in it to win it!!! Hooray for wallets
2023-10-10 19:31:03,Comment,2,Why no one fat finger my donuts wallet yet! lol
2023-10-06 21:56:33,Comment,2,Donuts are just funnzies
2023-10-06 10:18:31,Comment,1,"Yea, this is what I think about the coinbase posting as well, they have a lot of dead memes on there"
2023-10-05 09:47:53,Comment,4,When Sam is offline
2023-10-05 01:08:33,Comment,1,"Lol , if crypto fix’s the stock market I will laugh so out loud"
2023-10-05 00:38:09,Comment,2,"Another tool for the ol belt, thank you !"
2023-10-04 19:24:05,Comment,2,"Lol, octobers over, nothing left to see here, go home or out trick or treating, seeya in nov"
2023-10-04 00:08:28,Comment,0,"X gunna need a token, most likely donuts and not doge, trust me bro"
