Date,Activity Type,Upvotes,Content
2023-10-26 16:20:13,Post,Enjoying the Green!,7
2023-10-23 19:15:02,Post,"Let's talk Ethereum price action and Ethereum L2, Scroll",4
2023-10-22 19:22:44,Post,"There are so many misconceptions about Ethereum that people still believe today, do you agree with these?",9
2023-10-16 16:04:56,Post,The Saga continues,5
2023-10-14 14:59:44,Post,Metamask removed from Apple store,0
2023-10-11 15:55:21,Post,Halloween costume specials!,36
2023-10-09 16:21:05,Post,Holidays are coming...,71
2023-10-03 17:19:09,Post,"SBF trial starts today, here is what you need to know",9
2023-10-03 15:46:35,Post,Getting ready for the Bull Run. To the Moon!,4
2023-10-28 05:14:43,Comment,!myactivity,1
2023-10-27 23:02:05,Comment,"Whether there is a delay or not, we will get our Donuts. It won’t affect anything and new users will still join the sub if they are interested in ETH and trading.",1
2023-10-27 16:31:35,Comment,![img](avatar_exp|135141769|winner),2
2023-10-27 16:28:18,Comment,![img](avatar_exp|135141769|winner),1
2023-10-27 16:27:11,Comment,ooooh any reason you are using so many different ones? I'm just using 1 right now,1
2023-10-27 16:26:57,Comment,hehe MATIC is a great one,1
2023-10-27 16:21:13,Comment,"I can't find the expressions button, where did you find it?",1
2023-10-27 16:11:11,Comment,WHERE IS THIS BUTTON?! I CAN'T FIND IT AHHHHHHHHHH,1
2023-10-27 15:46:30,Comment,"GM yall, happy friday. What Layer 2 is everyone using?",2
2023-10-26 18:53:46,Comment,"Oh boy, I just jinxed it",1
2023-10-26 18:53:27,Comment,I'm feeling ALIVE again,1
2023-10-26 18:53:05,Comment,"Me too, for the past 3 years",2
2023-10-26 16:20:53,Comment,Vote and you'll get a NFT from standwithcrypto!,1
2023-10-25 18:59:40,Comment,"The site, after you submit your info it asks for your address to send you a NFT",2
2023-10-25 15:59:55,Comment,"Done! I hope this works! It was easier than something I did before which was to write a message to the governor or senator or something. This was so much easier, just input the following:

* Name
* Zipcode
* Email
* Phone Number (optional)
* Check 2 boxes
* Enter ETH or ENS address for a NFT (optional)

So ***easy*** that anyone outside of the USA can probably do this too 😅 Just a thought!",2
2023-10-23 22:46:20,Comment,"Anyone know any apps that will let friends bet against friends with crypto?

For example, I wanna bet with my friends whether Vikings or 49ers will win the NFL game tonight. The app will hold the crypto and send the winnings to the winner?",2
2023-10-23 22:27:38,Comment,"Always stuck between the 2, lower prices = more buying power OR higher prices = more profit",1
2023-10-23 22:27:10,Comment,"You'll get there, keep at it! I personally use DUAL INVESTMENT to set buy/sell limits. If the limits are NOT met, I still earn APR interest during that time. DUAL WIN!",1
2023-10-23 20:04:03,Comment,Can't argue with that 😁,1
2023-10-23 20:03:42,Comment,"That's lovely, the more ETH is used, the more ETH is burned LFG",1
2023-10-23 20:03:12,Comment,"OOF, that's a very low prediction! I agree, there is definitely market uncertainty and especially with the interest rates going up by EOY, it could be possible that ETH ends the year at <$1,700, but I truly hope it does not go as low as 900-1200 haha.

I'm hopeful ETH will end at 2K+, but regardless 2024 will be an epic year for ETH!",1
2023-10-23 20:00:24,Comment,😅 🌖🌒🚀,1
2023-10-23 18:57:21,Comment,"There is a significant difference between u/rustedpopcorn and another mod that left without ANY explanation. I don't know u/rustedpopcorn personally, but they were not on the sunsetting/rcp call and provided their justifiable explanation for selling. Sounds fair to me!",1
2023-10-23 16:23:57,Comment,"You forgot, it could go sideways too!",1
2023-10-23 16:23:39,Comment,WE ARE ALWAYS READY TO RETEST THE BOTTOM 😂,1
2023-10-23 16:22:53,Comment,At least give them a fair trial.,1
2023-10-23 16:13:20,Comment,4 guys in prison… sounds about right. Personally I like 5 guys… burgers 😂,2
2023-10-23 16:10:12,Comment,They made so much money selling the Moons I’m sure they didn’t care to get fired.,0
2023-10-23 16:08:26,Comment,Have you tried Layer 2?,1
2023-10-22 19:33:56,Comment,"Whenever I go like Starbucks etc, I'll strike a conversation. Even in line for the supermarket. This is the gwei towards widespread adoption. Share the knowledge because knowledge is power.",3
2023-10-22 19:23:22,Comment,\[AutoMod\] Discussion,1
