Date,Activity Type,Upvotes,Content
2023-10-28 11:57:47,Comment,1,!myactivity
2023-10-16 15:01:45,Comment,2,Snapshot cycle it is
2023-10-16 15:01:26,Comment,2,You are right bronut
2023-10-16 13:34:37,Comment,3,No it’s not like that it depends on number of tips you do in total cycle not related with the amount of donut you tip
2023-10-16 00:05:36,Comment,4,All I want to say is RELEASE THE KRAKEN
2023-10-08 07:16:28,Comment,2,Haha true and manipulating this sub with their malice and downvotes
2023-10-08 07:15:52,Comment,2,Only just a matter of time it’s certain in future
2023-10-07 06:07:55,Comment,2,And Gary being Uruk Hai
2023-10-07 06:07:35,Comment,2,I agree with you bronuts he’s an Orc
2023-10-07 06:06:56,Comment,3,Eth And Donuts the best
2023-10-06 00:26:56,Comment,2,Well we all want some tasty delicious donuts don’t we?
2023-10-06 00:26:37,Comment,1,True I hope kraken is listening our screams
2023-10-06 00:25:50,Comment,2,I am really enjoying buying at low price I know donut gonna pump in bull run
2023-10-06 00:25:15,Comment,3,I transformed my paper hands to diamond hands coz of my past experiences
2023-10-06 00:24:49,Comment,3,Donuts gonna pump high as it has more use case
2023-10-06 00:24:22,Comment,2,Welcome bronut good morning
2023-10-06 00:24:08,Comment,3,Don’t know let’s hope the ratio increases for next distro
2023-10-06 00:05:34,Comment,3,That’s what the bronuts do
2023-10-06 00:03:13,Comment,2,Well it’s good to start your day with something sweet as donut
2023-10-06 00:02:16,Comment,2,We’ll get there or may be beyond that in the bull run or if it get listed in Kraken
2023-10-06 00:01:35,Comment,2,We can expect a dip coz many will sell their donuts but we have to hold it till the bulls
2023-10-06 00:00:58,Comment,2,I hope too I hope we’ll see that in coming days
2023-10-06 00:00:38,Comment,3,It’s buying opportunities grab some donuts at discounted price bronut
2023-10-06 00:00:07,Comment,2,Please pray for my Algo bag too it’s begging for that
2023-10-05 23:59:15,Comment,2,And we got December too
2023-10-05 23:58:40,Comment,3,Buying at the right time not gonna miss this dip
2023-10-05 23:58:14,Comment,3,Will get to see in future might go up to 10 cents
2023-10-05 23:56:54,Comment,2,True scared of doing so it’s bleeding hell
2023-10-05 23:56:21,Comment,2,Bullish on November and December
2023-10-05 23:56:09,Comment,1,Don’t say like that I have high hopes from UPTOBER
2023-10-05 23:55:53,Comment,2,Yeah we want some hard pump
2023-10-05 23:54:53,Comment,2,I love donuts as a dessert
2023-10-05 23:54:38,Comment,1,That’s the way accumulate as much as you can
2023-10-05 23:54:13,Comment,3,Good morning bronuts I hope you have a sweet day just like our donuts
2023-10-05 23:53:25,Comment,3,Good to have you too good morning mate
2023-10-05 23:53:13,Comment,2,It’s red though but I hope we’ll get some greens today
2023-10-05 23:52:50,Comment,3,Maybe he didn’t know about that he’ll get to know in this month distro
2023-10-05 23:51:53,Comment,3,True it’s all red moons and donuts
2023-10-05 23:51:38,Comment,3,But the good thing is that you can buy more donuts
2023-10-05 00:03:38,Comment,2,These donuts are health friendly
2023-10-05 00:03:27,Comment,2,The sugar rush is like dopamine to me
2023-10-05 00:03:09,Comment,2,Freshly baked donuts are damn delicious
2023-10-05 00:02:53,Comment,2,True I always wait for daily so that I can interact with my fellow bronuts
2023-10-05 00:02:24,Comment,2,Welcome you are not late you are just on right time
2023-10-05 00:02:06,Comment,3,Yeah even I couldn’t make it like max to 30 comments
2023-10-04 23:59:34,Comment,3,True donuts are quite addictive them can make you addict
2023-10-04 23:59:00,Comment,2,Emotionally mentally financially
2023-10-04 23:58:46,Comment,3,I am holding tight and strong ain’t gonna sell a single one
2023-10-04 23:58:18,Comment,4,Well I didn’t tell them about crypto much
2023-10-04 23:18:18,Comment,1,Let’s go to do some Fiat mining then
2023-10-04 23:18:04,Comment,2,Consistency and patience pave our way to financial independence
2023-10-04 23:17:13,Comment,1,All bronuts in this sub are wonderful
2023-10-04 23:13:02,Comment,2,Excited for it
2023-10-04 23:11:07,Comment,2,And also helps me to live stressfree and enjoy my day
2023-10-04 23:10:26,Comment,2,The best we can do now accumulate and wait for bull run
2023-10-04 23:09:38,Comment,2,🥉here you go sir
2023-10-04 23:09:18,Comment,1,Donuts and this sub is addictive as fuck
2023-10-04 23:09:03,Comment,1,Having you every day on daily makes the great day and interactive daily
2023-10-04 23:08:30,Comment,2,Keep buying the dips for now and we might get freshly baked donuts too
2023-10-04 23:08:05,Comment,2,I only know to upvote my fellow bronuts
2023-10-04 23:06:57,Comment,2,I don’t see chart often
2023-10-04 23:06:43,Comment,1,Accumulate as much as you can before the bulls arrive
2023-10-04 23:06:23,Comment,2,You too have a great day
2023-10-04 23:06:12,Comment,1,Welcome bronut
2023-10-04 23:05:39,Comment,2,Good to have you early on daily everyday
2023-10-04 23:04:57,Comment,1,Life is good when you buy eth and get some donuts
2023-10-04 23:04:35,Comment,2,I hope we’ll get donuts today
2023-10-04 23:04:15,Comment,1,When are we getting donuts
2023-10-04 23:04:03,Comment,2,I love my delicious donuts
2023-10-04 23:03:46,Comment,2,Lovely to have you on board
2023-10-04 23:03:34,Comment,2,We have waited for this long we can wait for few days more
2023-10-04 23:03:14,Comment,4,Good morning all bronuts hope you enjoying buying some dips
2023-10-04 23:00:43,Comment,2,Off to Caribbean Island with my Black Pearl
2023-10-04 23:00:08,Comment,2,With passing day it’s increasing even more
2023-10-04 22:59:50,Comment,1,I should buy a house first
2023-10-04 22:37:10,Comment,2,OP! You are truly passionate about donuts and this sub doing all the great things you can
2023-10-03 23:37:20,Comment,2,We all gonna make it bro! Passion and patience is the key
2023-10-03 23:36:36,Comment,1,Great brother go for it
2023-10-03 23:35:35,Comment,3,The best feeling and the best decision
2023-10-03 23:35:24,Comment,2,Nothing better than freshly baked donuts
2023-10-03 23:35:06,Comment,1,I am too got some extra doses too for low days
2023-10-03 23:34:47,Comment,2,Faith is the only thing because of which I am alive
2023-10-03 23:34:22,Comment,2,Let’s pump the activity in this sub and don’t forget to buy the dip
2023-10-03 23:33:39,Comment,2,Let’s make $5k
2023-10-03 23:33:16,Comment,2,We bronuts got diamond hands
2023-10-03 23:32:52,Comment,2,Doing good how you doing bronut
2023-10-03 23:32:40,Comment,1,My love for Ethereum grows day by day
2023-10-03 23:30:36,Comment,2,Let’s see I hope we’ll get to see the distro today only
2023-10-03 23:30:14,Comment,2,Accumulate before the bulls arrive gonna stack up and we’ll play later
2023-10-03 23:29:25,Comment,5,Actually 2 long years
2023-10-03 23:28:33,Comment,2,Yeah I am happy with whatever I get
2023-10-03 23:28:10,Comment,2,I wish you luck
2023-10-03 23:27:56,Comment,2,Scam and especially the Twitters X scam posts
2023-10-03 23:27:29,Comment,2,Yeah we have to wait for few months for the bulls
2023-10-03 23:26:48,Comment,2,Wholesome because we got bronuts like you
2023-10-03 23:26:00,Comment,2,And you too being an active member of the daily
2023-10-03 23:25:32,Comment,2,This month will be your month earn some
