Date,Activity Type,Upvotes,Content
2023-12-07 02:43:53,Post,2,House Committee passes bill to ‘preserve U.S. leadership’ in blockchain
2023-12-06 19:24:07,Post,8,FaZe Clan Founder Banks Says Ethereum Is 'Large Percentage' of His Net Worth
2023-12-06 16:21:42,Post,7,Banking Giant Societe Generale Says It Has Issued First ‘Digital Green Bond’ on Ethereum (ETH) Network
2023-12-05 12:14:18,Post,11,Societe Generale issues its first green bond on Ethereum
2023-12-04 12:32:41,Post,16,Platypus hacker walks free with $8.5M after claiming to be 'ethical hacker'
2023-12-02 04:19:18,Post,13,Tensions rise as US lawmakers work to get crypto provisions into end-of-year bills
2023-12-01 17:26:49,Post,13,North Korean Hackers Lazarus Group Stolen $3B in Cryptocurrency
2023-11-29 01:26:37,Post,14,Brian Armstrong Says Binance Settlements Allow Crypto Industry to 'Turn the Page'
2023-11-26 19:05:45,Post,7,European Central Bank (ECB) President's Son Got Rekt on Crypto
2023-11-26 08:45:34,Post,18,"‘The party is over,’ Javier Milei to end political privileges and the central bank"
2023-11-24 14:33:08,Post,13,"Charles Hoskinson Lauds CZ as “Greatest Crypto Entrepreneur,” Says America’s Weaponized Regime Trapped Him"
2023-11-23 02:51:02,Post,16,US Lawmaker Urges Congress to Focus on Attracting Crypto Opportunities to Bolster National Security
2023-11-22 17:12:50,Post,5,Genesis Targets Gemini in $689M Legal Battle Over Alleged Preferential Crypto Withdrawals
2023-11-21 18:08:56,Post,12,Binance CEO Changpeng 'CZ' Zhao plans to step down
2023-11-21 06:47:05,Post,27,"Jesse Powell calls SEC ""Top Decel"", warns others should flee US"
2023-11-19 03:35:42,Post,38,SEC Chair Gensler Slammed for Stating SEC Doesn't Prosecute Honest Business
2023-11-16 15:46:13,Post,10,Blackrock Officially Submits Ethereum ETF Proposal to US Securities Regulator
2023-11-14 12:30:30,Post,39,Ethereum Spot ETFs: BlackRock Takes The Fight To SEC With New Filing
2023-11-13 05:25:19,Post,38,"Binance Client Executives Kidnapped, Forced to Empty Crypto Wallets — CZ Says Total Loss Was $12.5 Million"
2023-11-11 10:09:35,Post,16,"Top Trader Who Nailed Crypto Bottom in 2022 Issues Warning, Says Market ‘Just Turned More Dangerous’"
2023-11-10 15:42:53,Post,9,$5 Million Reward: Justin Sun's Move Against Poloniex Attackers
2023-11-10 11:21:43,Post,5,JPMorgan implements programmable payments using blockchain tech
2023-11-09 18:52:27,Post,21,Celsius to Emerge from Bankruptcy With Repayment Plan Approved
2023-12-07 02:48:01,Comment,1,!myactivity
2023-12-07 02:46:35,Comment,1,"Xd, but he'll tell is anyway. He's the ""influencer"""
2023-12-07 02:45:35,Comment,1,"Lmao, no body cares what he does."
2023-12-07 02:44:11,Comment,1,[Automod] News
2023-12-04 12:32:58,Comment,1,[Automod] News
2023-12-01 17:27:13,Comment,1,[Automod] News
2023-12-01 13:55:20,Comment,1,"Never been more Bullish

!tip 1.5"
2023-12-01 13:54:55,Comment,1,!tip 1.5
2023-12-01 13:54:26,Comment,1,!tip 2
2023-12-01 13:54:02,Comment,1,!tip 2
2023-12-01 13:53:43,Comment,1,!tip 2
2023-12-01 13:53:26,Comment,1,!tip 2
2023-12-01 13:53:09,Comment,1,!tip 2
2023-12-01 13:52:54,Comment,1,!tip 2
2023-12-01 13:52:34,Comment,1,!tip 2
2023-11-29 01:27:12,Comment,1,[Automod] News
2023-11-27 13:57:28,Comment,2,You're welcome mate
2023-11-27 13:56:32,Comment,1,!tip 2
2023-11-27 13:56:11,Comment,1,!tip 2
2023-11-27 13:55:54,Comment,2,!tip 2
2023-11-27 13:55:20,Comment,1,!tip 2
2023-11-27 13:55:03,Comment,1,!tip 2
2023-11-27 13:54:45,Comment,2,!tip 2
2023-11-27 13:54:03,Comment,2,!tip 2
2023-11-27 13:53:42,Comment,2,!tip 2
2023-11-26 09:29:52,Comment,4,They're all the same breed
2023-11-26 09:21:39,Comment,2,These politicians just do whatever benefits them
2023-11-26 08:34:29,Comment,2,!tip 2
2023-11-25 18:02:59,Comment,1,!tip 2
2023-11-25 18:01:37,Comment,1,!tip 2
2023-11-25 18:01:23,Comment,1,"So wen round 130,"
2023-11-25 18:00:48,Comment,1,"I too moved my eth to dex after these Binance fuds

!tip 1.5"
2023-11-25 17:59:32,Comment,1,!tip 2
2023-11-25 17:58:14,Comment,-1,No
2023-11-25 17:57:14,Comment,2,"Freshly baked donut

!tip 2"
2023-11-25 17:56:45,Comment,1,"Everyday i hear something Bullish about eth

!tip 6.9"
2023-11-24 14:43:04,Comment,1,!tip 2
2023-11-24 14:42:48,Comment,1,Eth is always Bullish
2023-11-24 14:42:01,Comment,1,"He needs to get bullied there, then he'll stop poking around"
2023-11-24 14:41:08,Comment,2,!tip 1.5
2023-11-24 14:39:45,Comment,1,"Wow, two month donuts in a row"
2023-11-24 14:39:17,Comment,1,!donut
2023-11-24 14:38:52,Comment,2,"This is great guide op

!tip 5"
2023-11-24 14:38:09,Comment,1,!tip 2
2023-11-24 14:37:46,Comment,3,"Salute to you sir.

!tip 2"
2023-11-24 14:36:49,Comment,1,"This is great initiative

!tip 10"
2023-11-24 14:33:53,Comment,1,!tip 1.5
2023-11-23 11:29:35,Comment,2,"Aminok is the king

!tip 2"
2023-11-23 11:28:10,Comment,1,!tip 2
2023-11-23 11:27:32,Comment,1,"Nothing new, just a regular thing now
!tip 2"
2023-11-23 11:26:21,Comment,1,!tip 2
2023-11-23 11:25:48,Comment,2,"Up only from now on

!tip 2"
2023-11-23 11:23:39,Comment,1,"Looks good 

!tip 2"
2023-11-22 17:13:08,Comment,1,[Automod] News
2023-11-21 18:11:43,Comment,4,"This isn't good for the crypto, I think"
2023-11-21 18:09:50,Comment,1,[Automod] News
2023-11-21 17:54:46,Comment,2,"Just hoping they don't become like cointelegraph

!tip 2"
2023-11-21 17:53:56,Comment,1,"Bullish on ETH then

!tip 2"
2023-11-21 17:52:56,Comment,1,!tip 1.5
2023-11-21 17:52:34,Comment,1,!tip 1.5
2023-11-21 17:52:19,Comment,1,!tip 2
2023-11-21 17:51:40,Comment,1,!tip 1.5
2023-11-20 11:16:59,Comment,1,Obviously NO. Should've proposed like 0.75.
2023-11-20 10:04:06,Comment,1,!tip 2
2023-11-20 10:03:07,Comment,1,!tip 2
2023-11-20 10:02:19,Comment,1,!tip 2
2023-11-20 10:01:37,Comment,1,!tip 2
2023-11-20 10:00:38,Comment,1,!tip 2
2023-11-20 10:00:05,Comment,2,!tip 2
2023-11-20 09:59:50,Comment,1,!tip 2
