Date,Activity Type,Upvotes,Content
2023-10-28 10:29:33,Comment,1,!myactivity
2023-10-28 01:10:23,Comment,1,I can't wait to have donuts! So delicious!
2023-10-28 01:08:15,Comment,4,Good night early adopters and future millionaires! Have a great night!
2023-10-27 17:29:32,Comment,1,!myactivity
2023-10-27 14:28:37,Comment,2,People should buy donuts! They don't know what they are doing
2023-10-27 10:22:10,Comment,0,What a great community!
2023-10-27 08:26:11,Comment,2,Good morning early adopters and future millionaires! Have a great day! Don't forget to upvote the daily
2023-10-26 23:53:58,Comment,1,So many amazing users on this community!
2023-10-26 23:51:07,Comment,0,Good night early adopters and future millionaires! Have a good night of sleep!
2023-10-26 22:33:02,Comment,1,Good luck!
2023-10-26 22:28:00,Comment,1,He also thought it was legal to use cheats playing LoL
2023-10-26 18:54:20,Comment,1,You're welcome xD
2023-10-26 18:51:38,Comment,3,"Leave CZ alone, I only use Binance."
2023-10-26 18:22:18,Comment,2,Thanks!
2023-10-26 18:21:56,Comment,1,Thanks
2023-10-26 18:21:20,Comment,1,"I didn't take profits too. I first invested in crypto in July 2021, by November I had made 4x my investment, but I keept waiting for 100k btc and didn't sold anything. Lesson learned."
2023-10-26 17:44:02,Comment,2,I made the 69 xD
2023-10-26 17:42:51,Comment,2,Oh nice. Thanks for the answer!
2023-10-26 17:41:10,Comment,1,That's the number of donuts that we will receive?
2023-10-26 17:38:31,Comment,2,Next time you will be top 50!
2023-10-26 17:37:53,Comment,1,That's a lot of donuts!
2023-10-26 17:37:11,Comment,1,You should change your username to pothead xD
2023-10-26 17:35:52,Comment,1,Almost made top 100 xD but i only started to post here on the 10th of October
2023-10-26 16:39:17,Comment,2,I'm newb. What's the ratio and what it means?
2023-10-26 16:38:15,Comment,1,I have 1 donut on gnosis from a tip
2023-10-26 16:37:18,Comment,1,The buyers should put their money on donuts instead!
2023-10-26 16:36:32,Comment,1,Here is fine
2023-10-26 16:36:17,Comment,4,12k btc is coming xD
2023-10-26 16:35:05,Comment,1,Let's get donuts!
2023-10-26 16:34:30,Comment,1,Best crypto sub!
2023-10-26 16:34:14,Comment,1,I hope so xD
2023-10-26 16:32:38,Comment,1,Site is still offline for me
2023-10-26 09:06:50,Comment,2,Donuts the new shib! I hope xD
2023-10-26 09:05:52,Comment,2,I'm here waiting for my first donuts xD
2023-10-26 09:05:07,Comment,1,"My indicator ""crystal balls"" says we have a 50% chance of go up and a 50% chance of going down"
2023-10-26 09:03:22,Comment,1,It's all fun and games but when the shitcoin goes to 0 is not fun anymore
2023-10-26 08:31:59,Comment,2,A true Bronut. What a great community
2023-10-26 08:29:02,Comment,2,"Thanks, I've been using this website daily!"
2023-10-26 08:27:21,Comment,2,Good morning early adopters and future millionaires! Have a great day!
2023-10-25 23:25:18,Comment,2,I don't buy it
2023-10-25 20:14:06,Comment,4,Have a good night bronuts!
2023-10-25 20:13:42,Comment,3,I've not tipped cause I have 0 donuts xD
2023-10-25 17:17:03,Comment,1,I have 1 xD
2023-10-25 17:16:35,Comment,3,I've done my part as soon as I woke up!
2023-10-25 17:16:09,Comment,1,I think they accumulate eth too but in a lower percentage
2023-10-25 17:15:27,Comment,3,Crypto decoupling!
2023-10-25 17:14:02,Comment,1,That's what I'll do
2023-10-25 17:13:45,Comment,2,I'm glad I'm in Portugal xD
2023-10-25 14:52:46,Comment,1,The top of the Asian hodlers taking profits at the top
2023-10-25 14:10:05,Comment,1,I know him from DOT but i didn't knew he started in eth
2023-10-25 14:07:41,Comment,1,I wishi could DCA like this whales xD
2023-10-25 14:03:49,Comment,1,I just hope people learned their lesson
2023-10-25 14:03:03,Comment,1,That Cassie looks like a skeleton
2023-10-25 14:01:48,Comment,1,SEC always in the news for doing some idiotic shit
2023-10-25 14:00:56,Comment,2,I noticed that too
2023-10-25 14:00:08,Comment,5,US is doing a good job killing crypto
2023-10-25 13:58:39,Comment,1,That's like 0.1c for them
2023-10-25 13:04:39,Comment,2,I never thought 69k was the top because it was too memable
